id1,rel,id2
土地开发资金收入,isA,土地出让收入
综合财力,isA,财政
GDP,isA,经济
进出口总额,isA,社会消费品零售总额
城投有息债务,isA,平台有息债务
涉宅用地成交面积,isA,土地出让面积
税收收入,isA,一般公共预算收入
社会保障支出,isA,刚性支出
土地成交均价,isA,经济
农林水支出,isA,一般公共预算支出
制造业投资,isA,第二产业投资
三次产业投资结构,isA,GDP
重工业增加值,isA,规模以上工业增加值
债券发行量,isA,债券净融资规模
城镇土地使用税,isA,税收收入
科研经费支出,isA,一般公共预算支出
城投平台,isA,债务和融资
住宅用地出让面积,isA,土地出让面积
城乡社区支出,isA,一般公共预算支出
其他政府性基金收入,isA,综合财力
教育支出,isA,刚性支出
专项债务余额,isA,地方政府债务
第一产业增加值,isA,三次产业结构
基金转移收入,isA,转移性收入
城市维护建设税,isA,税收收入
土地出让收入,isA,政府性基金预算收入
存续债券到期规模,isA,债券到期规模
规上工业企业总产值,isA,规模以上工业增加值
一般公共预算收入,isA,综合财力
企业所得税,isA,税收收入
存续债券余额,isA,债券余额
已发债的投融资主体,isA,债务和融资
广义债务,isA,债务和融资
逾期发生额,isA,广义债务
债券余额,isA,有息债务
房屋施工面积,isA,经济
住宅销售额,isA,商品房销售额
社会保障和就业支出,isA,刚性支出
上级补助支出,isA,一般公共预算支出
一般债务限额,isA,债务限额
存续发债城投有息债务,isA,城投有息债务
非标逾期,isA,广义债务
债券兑付规模,isA,有息债务
第一产业投资,isA,固定资产投资
工业增加值,isA,第二产业增加值
住宅销售面积,isA,商品房销售面积
留抵退税,isA,税收收入
高新技术产业投资,isA,第三产业投资
一般债务还本支出,isA,政府债务还本支出
商办用地出让面积,isA,土地出让面积
专项债务限额,isA,债务限额
三次产业结构,isA,GDP
土地出让面积,isA,经济
就业支出,isA,刚性支出
第二产业增加值,isA,三次产业结构
科技支出,isA,一般公共预算支出
土地出让总价,isA,经济
有息债务,isA,地方政府债务
涉宅用地成交均价,isA,土地成交均价
规模以上工业增加值,isA,工业增加值
净融资,isA,债务和融资
专项债务还本支出,isA,政府债务还本支出
规模以上高新技术产业增加值,isA,规模以上工业增加值
信贷规模,isA,经济
清理入库收入,isA,其他政府性基金收入
转移性收入,isA,综合财力
债券兑付规模,isA,债券净融资规模
本级债券发行量,isA,本级净融资
政府性基金收入,isA,综合财力
耕地占用税,isA,税收收入
增值税,isA,税收收入
商品房销售额,isA,经济
基础设施投资,isA,第二产业投资
契税,isA,税收收入
出口总额,isA,进出口总额
服务业投资,isA,第三产业投资
增值税留抵退税,isA,留抵退税
生态环境投资,isA,第二产业投资
所得税,isA,税收收入
旅游总收入,isA,第三产业增加值
住宅施工面积,isA,房屋施工面积
土地出让收入,isA,政府性基金收入
一般公共预算支出,isA,财政支出
第三产业增加值,isA,三次产业结构
债券净融资规模,isA,净融资
工业生产性投资,isA,第二产业投资
第三产业投资,isA,固定资产投资
房产税,isA,税收收入
住宅用地出让总价,isA,土地出让总价
水利设施投资,isA,第二产业投资
医疗卫生支出,isA,刚性支出
平台票据逾期,isA,广义债务
本级债券偿还量,isA,本级净融资
社会消费品零售总额,isA,经济
土地增值税,isA,增值税
第二产业投资,isA,固定资产投资
涉宅用地成交总价,isA,土地出让总价
商品房销售面积,isA,经济
本级存续债券余额,isA,本级有息债务
网络零售额,isA,社会消费品零售总额
债券到期规模,isA,债券净融资规模
公共安全支出,isA,刚性支出
一级平台,isA,已发债的投融资主体
债券偿还量,isA,债券净融资规模
交通运输投资,isA,第三产业投资
个人所得税,isA,所得税
财政支出,isA,财政
规上工业亩均税收,isA,工业增加值
房地产投资,isA,第二产业投资
住宅用地成交均价,isA,土地成交均价
政府债务还本支出,isA,债务和融资
固定资产投资增速,isA,GDP
债券总发行量,isA,债券净融资规模
轻工业增加值,isA,规模以上工业增加值
固定资产投资,isA,GDP
三次产业增加值结构,isA,GDP
上级补助收入,isA,转移性收入
债务率,isA,债务和融资
财政刚性支出,isA,刚性支出
非税收入,isA,一般公共预算收入
一般性项目支出,isA,一般公共预算支出
平台发债规模,isA,债券净融资规模
逾期余额,isA,广义债务
工业投资,isA,第二产业投资
本级存续发债城投平台,isA,存续发债城投平台
一般公共服务支出,isA,刚性支出
住宅投资,isA,房地产投资
本级有息债务,isA,有息债务
综合用地（含住宅）出让总价,isA,土地出让总价
平台有息债务,isA,有息债务
财政自给率,isA,财政
进口总额,isA,进出口总额
债务限额,isA,债务和融资
涉地税,isA,税收收入
房地产开发投资增速,isA,固定资产投资增速
政府性基金预算收入,isA,综合财力
国有资源（资产）有偿使用收入,isA,非税收入
一般公共预算自给率,isA,财政自给率
刚性支出,isA,一般公共预算支出
本级净融资,isA,净融资
民间投资,isA,固定资产投资
地方政府债务,isA,债务和融资
投资存续债,isA,存续债券余额
有息债务,isA,广义债务
存续发债城投平台,isA,城投平台
一般债务余额,isA,地方政府债务
金融机构人民币存款余额,isA,信贷规模
卫生健康支出,isA,一般公共预算支出
经济总量,isA,经济
商办用地出让总价,isA,土地出让总价
工业用地出让面积,isA,土地出让面积
公共设施投资,isA,第二产业投资
