id1,rel,id2
外部环境,derivedFrom,生态环境投资
政府性基金自给率较上年下降,derivedFrom,政府性基金自给率
土地出让总价显著下降,derivedFrom,土地出让总价
财政收入下降,derivedFrom,税收收入
第三产业增长,derivedFrom,第三产业增加值
债务压降，康旅事件 ,derivedFrom,债务率
大规模留抵退税减收因素,derivedFrom,留抵退税
综合用地（含住宅）及商业出让单价，办公用地出让单价下滑,derivedFrom,综合用地（含住宅）出让总价
一般公共预算收入,derivedFrom,一般公共预算收入
受国内外严竣环境影响,derivedFrom,生态环境投资
新增发债城投平台,derivedFrom,新增发债城投平台
土地出让收入规模较大,derivedFrom,土地出让收入
区域平台信用关联度较高,derivedFrom,城投平台
一般公共预算支出增速较快,derivedFrom,一般公共预算支出
地方政府债务率在绍兴市各区县中处于相对较好水平,derivedFrom,债务率
国有土地使用权出让收入下降,derivedFrom,土地出让收入
宏观经济影响，市场影响,derivedFrom,经济总量
增值税留抵退税,derivedFrom,增值税留抵退税
市区县级园区平台普遍信用质量不高、市场认可度较差,derivedFrom,平台信用质量
受国内外环境影响,derivedFrom,综合财力
政府性基金收入降幅较大,derivedFrom,政府性基金收入
土地出让收入大幅下降,derivedFrom,土地出让收入
住宅用地出让面积下降,derivedFrom,住宅用地出让面积
房地产开发投资同比下降,derivedFrom,房地产开发投资增速
土地出让规模收缩,derivedFrom,土地出让面积
政府性基金预算收入同势下降,derivedFrom,政府性基金预算收入
国有土地使用权出让收入,derivedFrom,土地出让收入
受政府性基金收入下降,derivedFrom,政府性基金收入
土地出让收入下滑,derivedFrom,土地出让收入
政府性基金预算收入大幅下降,derivedFrom,政府性基金预算收入
重点行业、重点税源企业纳税大幅下降,derivedFrom,企业所得税
新增矿业权收益,derivedFrom,工业增加值
房地产行业景气度整体降温,derivedFrom,房地产投资
发债城投数量增加，政府债务率上升 ,derivedFrom,地方政府债务
财政自给程度一般,derivedFrom,财政自给率
存续发债城投平台之间无股权交叉，但互保情况密切,derivedFrom,存续发债城投平台
房地产市场及土地市场行情影响,derivedFrom,房地产投资
一般公共预算收入降幅大，政府性基金收入降幅大,derivedFrom,一般公共预算收入
受留抵退税及房地产市场表现低迷,derivedFrom,留抵退税
国有土地使用权出让收入降幅较高,derivedFrom,土地出让收入
