id1,rel,id2
实现进出口总额,causeOf,国际经济政治形势不利，外贸环境趋于严峻
存续发债城投之间完全并表,causeOf,下辖区划的调整，国企整合 
广义债务负担加重,causeOf,区内发债城投数量多、有息债务规模大
政府性基金收入大幅下降,causeOf,房地产市场因素
城投债券净融资规模大幅下滑,causeOf,存续债券行权规模相对较大
综合财力持续提升,causeOf,税收收入增长，转移性收入增长
税收收入下降,causeOf,留抵退税政策
规模以上工业增加值同比下降,causeOf,原油价格上涨，经营效益有所下降
GDP增速有所下滑,causeOf,工业经济下行
城投游戏债务大幅增大,causeOf,发债城投逐年增多
土地出让总价有所下降,causeOf,房地产政策调控、出让面积缩减
固定资产投资有所增长,causeOf,得益于高新技术产业投资快速增长
固定资产投资,causeOf,宏观环境影响
企业所得税大幅增长,causeOf,地产项目集中交付后确认收入
社会消费品零售总额呈现负增长,causeOf,宏观经济
税收收入下降,causeOf,经济扰动因素加大，房地产市场风险抬升，留抵退税力度加大
经济增长,causeOf,第三产业增加值较快增长
一般预算收入增长,causeOf,增值税税收增加，所得税税收增加
固定资产投资同比下降,causeOf,交通投资同比大幅下降
一般公共预算自给率下降,causeOf,一般公共预算收入下降 
政府性基金收入大幅下降,causeOf,经济大环境不佳及房地产市场波动，土地成交规模萎缩
较上年下降 ,causeOf,区域基建规划、招商引资进度
商品房销售面积下降显著,causeOf,房地产市场景气度下降
债券市场认可度较低,causeOf,区域债务负担重
GDP增速有所下滑,causeOf,受国内外严竣环境影响
土地使用权出让收入总体大幅增加,causeOf,盘活资产资源一次性补缴收入
商品房销售额下降,causeOf,房地产市场景气度下降
政府债务负担增长显著,causeOf,专项债的增多 
政府性基金预算收入快速增长,causeOf,土地市场成交总额的增长
一般公共预算收入下降 ,causeOf,增值税下滑
城投债净融资规模逐年扩大,causeOf,城投债券余额超过一般预算收入13倍
政府广义债务率将有所增长,causeOf,政府债务负担增长显著
财政自给率显著下降,causeOf,卫生健康支出大幅增长及镇（街道）财政体制结算转列一般公共预算支出
经济增速呈现下滑,causeOf,宏观因素
契税下降,causeOf,房地产市场交易量下降
宿迁市社会消费品零售总额规模呈波动趋势,causeOf,受外部不可抗因素影响
一般公共预算收入下降 ,causeOf,增值税留抵退税，土地出让收入下滑
财政自给率显著下降,causeOf,一般公共预算支出增长
固定资产投资同比下降,causeOf,房地产开发投资下降
住宅用地出让量下跌，综合用地（含住宅）出让量下跌,causeOf,工业用地加大供应
一般公共预算收入下降 ,causeOf,税收收入下降
房地产开发投资下降,causeOf,房地产政策调控
综合财力持续提升,causeOf,政府性基金收入增长
固定资产投资已有所恢复,causeOf,第二产业投资、第三产业投资大幅增长
房地产市场景气度下降,causeOf,受季节性及其他超预期因素
土地成交总面积增长,causeOf,工业用地加大供应
土地出让总价有所下降,causeOf,房地产市场环境
社会消费品零售总额呈现负增长,causeOf,宏观经济影响
较上年下降 ,causeOf,国际经济政治形势不利，外贸环境趋于严峻
GDP 增长,causeOf,国家政策支持，区位交通优势，良好的工业基础
政府性基金预算收入大幅下降,causeOf,土地出让收入显著下降
土地出让收入显著下降,causeOf,土地成交总面积下降
土地出让收入显著下降,causeOf,房地产市场转冷，土地市场行情走弱
财源基础较好,causeOf,税收收入占比维持较高水平
广义债务负担加重,causeOf,发债城投逐年增多
商品房施工面积增速放缓,causeOf,房地产市场调控等因素
财政自给率显著下降,causeOf,一般公共预算收入下降，一般公共预算支出增长
税收收入下降,causeOf,国有资产有偿使用收入大幅增长，税收收入下降
政府性基金收入大幅下降,causeOf,房地产调控政策
信用关联度高,causeOf,存续发债城投平台之间无股权交叉，但互保情况密切
财政收支平衡对上级补助收入有一定依赖,causeOf,财政自给程度一般
净融资大幅下降,causeOf,2021年以来市场认可度分化加剧，对实力弱且出现过非标风险、票据逾期等负面舆情较多省份整体认可度较差
税收收入下降,causeOf,增值税留抵退税，土地出让收入下滑
一般公共预算收入下降 ,causeOf,增值税留抵退税，企业所得税，个人所得税，土地增值税均有所下降
土地成交总价有所下降,causeOf,住宅用地成交均价下跌
土地出让总价有所下降,causeOf,综合用地（含住宅）出让价格下降
政府性基金收入大幅下降,causeOf,土地出让收入显著下降
财政自给率显著下降,causeOf,一般公共预算收入下降 
一般预算收入增长,causeOf,新增矿业权收益
货物进出口总额持续增长,causeOf,外贸扶持力度的持续加强
综合财力下滑,causeOf,政府性基金收入及转移性收入减少
净融资大幅下降,causeOf,发行量缩减，到期规模增加
住宅销售面积下降,causeOf,房地产行业政策收紧，房企信用风险频发
一般公共预算支出增长,causeOf,节能环保支出增长，城乡社区支出增长，交通运输支出增长
